event_id,timestamp,features_json,label
evt_072,2025-01-08T09:30:00Z,"{""score"": 0.7231, ""engagement"": 0.5976, ""recency"": 2.3238, ""value"": 1186.66}",1
evt_073,2025-01-08T12:00:00Z,"{""score"": 0.5599, ""engagement"": 0.5519, ""recency"": 4.4611, ""value"": 642.25}",0
evt_074,2025-01-08T14:30:00Z,"{""score"": 0.8764, ""engagement"": 0.6678, ""recency"": 3.3124, ""value"": 1141.22}",1
evt_075,2025-01-08T17:00:00Z,"{""score"": 0.7022, ""engagement"": 0.4965, ""recency"": 4.9273, ""value"": 1249.45}",1
evt_076,2025-01-08T19:30:00Z,"{""score"": 0.3486, ""engagement"": 0.2341, ""recency"": 9.0671, ""value"": 562.78}",0
evt_077,2025-01-08T22:00:00Z,"{""score"": 0.5159, ""engagement"": 0.439, ""recency"": 5.9519, ""value"": 643.86}",0
evt_078,2025-01-09T00:30:00Z,"{""score"": 0.5289, ""engagement"": 0.3098, ""recency"": 5.3306, ""value"": 626.8}",0
evt_079,2025-01-09T03:00:00Z,"{""score"": 0.7484, ""engagement"": 0.5579, ""recency"": 2.1691, ""value"": 944.69}",1
evt_080,2025-01-09T05:30:00Z,"{""score"": 0.2598, ""engagement"": 0.3495, ""recency"": 7.1704, ""value"": 353.25}",0
evt_081,2025-01-09T08:00:00Z,"{""score"": 0.8904, ""engagement"": 0.5924, ""recency"": 3.03, ""value"": 1163.95}",1
evt_082,2025-01-09T10:30:00Z,"{""score"": 0.5242, ""engagement"": 0.6072, ""recency"": 4.1425, ""value"": 963.1}",0
evt_083,2025-01-09T13:00:00Z,"{""score"": 0.2298, ""engagement"": 0.3903, ""recency"": 8.9984, ""value"": 440.71}",0
evt_084,2025-01-09T15:30:00Z,"{""score"": 0.1613, ""engagement"": 0.2243, ""recency"": 8.5688, ""value"": 312.73}",0
evt_085,2025-01-09T18:00:00Z,"{""score"": 0.3395, ""engagement"": 0.3474, ""recency"": 5.6442, ""value"": 325.85}",0
evt_086,2025-01-09T20:30:00Z,"{""score"": 0.2203, ""engagement"": 0.1859, ""recency"": 8.3776, ""value"": 285.81}",0
evt_087,2025-01-09T23:00:00Z,"{""score"": 0.4911, ""engagement"": 0.6246, ""recency"": 6.0613, ""value"": 876.5}",0
evt_088,2025-01-10T01:30:00Z,"{""score"": 0.1938, ""engagement"": 0.1825, ""recency"": 6.751, ""value"": 382.17}",0
evt_089,2025-01-10T04:00:00Z,"{""score"": 0.2672, ""engagement"": 0.1862, ""recency"": 7.2703, ""value"": 412.02}",0
evt_090,2025-01-10T06:30:00Z,"{""score"": 0.2478, ""engagement"": 0.3248, ""recency"": 9.3542, ""value"": 203.13}",0
evt_091,2025-01-10T09:00:00Z,"{""score"": 0.704, ""engagement"": 0.7187, ""recency"": 6.0623, ""value"": 966.4}",1
evt_092,2025-01-10T11:30:00Z,"{""score"": 0.5768, ""engagement"": 0.473, ""recency"": 6.8365, ""value"": 736.79}",0
evt_093,2025-01-10T14:00:00Z,"{""score"": 0.7562, ""engagement"": 0.6418, ""recency"": 4.9475, ""value"": 1085.25}",1
evt_094,2025-01-10T16:30:00Z,"{""score"": 0.8757, ""engagement"": 0.8669, ""recency"": 4.194, ""value"": 1213.71}",1
evt_095,2025-01-10T19:00:00Z,"{""score"": 0.1268, ""engagement"": 0.1011, ""recency"": 9.9706, ""value"": 361.27}",0
evt_096,2025-01-10T21:30:00Z,"{""score"": 0.121, ""engagement"": 0.1474, ""recency"": 7.418, ""value"": 246.43}",0
evt_097,2025-01-11T00:00:00Z,"{""score"": 0.698, ""engagement"": 0.8256, ""recency"": 2.7259, ""value"": 934.75}",0
evt_098,2025-01-11T02:30:00Z,"{""score"": 0.4051, ""engagement"": 0.4152, ""recency"": 7.528, ""value"": 741.11}",0
evt_099,2025-01-11T05:00:00Z,"{""score"": 0.8743, ""engagement"": 0.9977, ""recency"": 2.3163, ""value"": 1250.51}",0
evt_100,2025-01-11T07:30:00Z,"{""score"": 0.5284, ""engagement"": 0.2317, ""recency"": 4.6049, ""value"": 622.04}",0
